,index,name,team,age,gp,w,l,min,pts,fgm,fga,fgp,threepm,threepa,threepp,ftm,fta,ftp,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,plusminus
24,25,Shai Gilgeous-Alexander,OKC,23,19,6,13,34.9,21.2,7.4,17.9,41.1,2.1,6.8,30.0,4.4,5.6,78.5,0.6,4.5,5.1,4.5,2.4,1.1,0.6,2.1,36.5,0,0,-5.2
25,26,Malcolm Brogdon,IND,28,19,7,12,35.4,21.0,7.5,16.4,46.0,2.0,6.2,32.5,3.9,4.5,87.2,0.9,4.9,5.8,6.1,2.3,0.9,0.6,2.1,39.2,4,1,2.2
26,27,James Harden,BKN,32,21,15,6,35.5,21.0,6.0,14.4,41.6,2.7,7.5,36.3,6.2,7.0,89.7,1.0,6.9,8.0,9.3,5.0,1.5,0.8,2.4,46.2,13,4,2.6
27,28,Russell Westbrook,LAL,33,23,12,11,36.2,20.7,7.7,17.3,44.5,1.3,4.4,30.7,4.0,5.8,68.4,1.3,6.9,8.2,8.6,4.7,1.3,0.2,3.1,43.1,11,5,-2.0
28,29,CJ McCollum,POR,30,23,11,12,35.4,20.4,8.0,18.7,42.6,3.2,8.1,39.6,1.3,1.9,69.8,1.1,3.1,4.3,4.4,1.9,1.1,0.7,2.0,35.7,0,0,-1.7
29,30,Fred VanVleet,TOR,27,22,10,12,38.3,20.3,7.2,16.2,44.5,3.2,8.1,39.3,2.6,3.0,86.6,0.8,4.4,5.2,6.2,3.2,1.5,0.6,2.6,39.2,2,0,2.7
30,31,De'Aaron Fox,SAC,23,23,9,14,34.8,20.3,7.5,17.3,43.2,1.2,4.3,27.3,4.1,5.5,74.8,0.6,3.0,3.5,5.5,3.0,1.3,0.5,2.8,35.2,1,0,-3.9
31,32,Jerami Grant,DET,27,21,4,17,33.1,20.1,6.6,16.0,41.1,1.8,5.5,33.0,5.2,6.2,83.8,1.0,3.8,4.8,2.5,2.0,1.2,1.0,2.2,34.0,1,0,-7.7
32,33,OG Anunoby,TOR,24,15,7,8,37.3,20.1,7.6,17.7,43.0,2.7,7.5,36.6,2.2,2.7,82.5,1.6,3.8,5.4,2.7,1.7,1.5,0.6,2.7,35.4,1,0,0.0
33,34,LaMelo Ball,CHA,20,24,13,11,33.3,20.0,7.3,17.3,41.8,2.9,7.5,39.1,2.6,2.9,90.0,1.5,6.2,7.7,8.3,3.3,1.9,0.4,3.1,45.4,10,2,2.0
34,35,Julius Randle,NYK,27,22,11,11,35.4,19.9,7.3,16.9,43.1,1.7,5.2,32.5,3.7,5.0,74.3,1.9,8.3,10.2,5.2,3.4,0.7,0.7,2.9,40.7,12,0,-3.5
35,36,Cole Anthony,ORL,21,17,5,12,34.2,19.9,6.9,16.4,42.1,2.7,7.5,35.9,3.4,3.9,86.6,0.5,6.3,6.8,5.9,2.8,1.1,0.2,2.5,38.0,4,0,-0.6
36,37,Miles Bridges,CHA,23,24,13,11,36.2,19.9,7.4,16.2,45.6,2.2,6.7,32.3,3.0,3.9,75.5,1.3,6.1,7.5,3.1,1.8,1.2,1.0,2.7,38.2,3,0,2.2
37,38,Kristaps Porzingis,DAL,26,15,8,7,30.3,19.7,7.1,15.5,45.9,1.7,5.5,30.1,3.7,4.3,87.5,2.3,5.7,8.0,1.9,1.4,0.9,1.7,2.3,38.4,5,0,-2.1
38,39,Tobias Harris,PHI,29,14,6,8,34.1,19.2,7.8,16.4,47.6,1.2,4.1,29.8,2.4,2.9,82.9,1.0,7.2,8.2,3.7,1.7,0.4,0.5,1.4,35.7,3,0,-0.3
39,40,Harrison Barnes,SAC,29,19,7,12,35.0,19.0,5.8,12.1,47.8,1.9,4.9,39.8,5.5,6.5,84.6,1.4,5.8,7.2,2.4,2.1,1.0,0.2,1.4,32.6,4,0,-3.4
40,41,D'Angelo Russell,MIN,25,20,11,9,32.6,18.9,6.6,17.0,38.9,2.9,8.8,32.4,2.9,3.5,81.4,0.5,3.4,3.9,6.2,2.6,0.9,0.8,2.2,35.2,1,0,7.1
41,41,Dejounte Murray,SAS,25,20,7,13,34.7,18.9,8.0,18.0,44.3,1.3,4.0,31.6,1.8,2.5,70.0,0.8,7.6,8.4,8.3,2.3,2.0,0.5,2.0,46.5,10,3,2.4
42,43,Jonas Valanciunas,NOP,29,24,6,18,31.3,18.8,7.1,14.2,50.3,1.3,2.6,48.4,3.3,3.8,86.8,3.4,8.8,12.1,2.4,2.0,0.6,0.8,3.1,39.1,17,0,-4.4
43,44,Bam Adebayo,MIA,24,18,10,8,32.9,18.7,7.0,13.5,51.9,0.0,0.1,0.0,4.7,6.2,75.9,2.7,7.4,10.2,3.2,2.9,1.1,0.3,3.3,37.1,9,0,1.6
44,45,Andrew Wiggins,GSW,26,21,18,3,30.3,18.6,7.0,14.2,49.0,1.9,5.0,37.1,2.8,3.9,72.8,1.1,3.3,4.5,1.6,1.7,0.9,0.6,1.6,28.9,0,0,7.0
45,46,Jordan Poole,GSW,22,21,18,3,30.4,18.5,6.7,14.6,45.6,2.9,8.2,34.7,2.3,2.6,90.7,0.3,2.9,3.1,3.3,2.5,1.1,0.2,2.9,28.8,0,0,6.0
46,47,Darius Garland,CLE,21,20,11,9,34.6,18.5,7.0,15.3,45.8,2.6,7.1,35.9,2.0,2.3,84.8,0.4,2.2,2.6,7.2,3.8,1.2,0.1,1.7,32.1,5,0,4.8
47,48,Pascal Siakam,TOR,27,12,3,9,33.2,18.1,6.8,14.7,46.6,1.3,3.9,31.9,3.2,4.3,74.5,2.0,5.2,7.2,3.8,2.3,0.8,0.9,3.5,35.1,2,0,-1.5
48,49,Terry Rozier,CHA,27,19,10,9,32.9,17.7,6.5,15.2,42.9,2.6,7.4,35.0,2.1,2.4,87.0,0.6,2.9,3.5,3.6,1.4,1.3,0.5,1.4,31.5,0,0,-1.3
49,50,Dillon Brooks,MEM,25,9,5,4,24.6,17.6,6.3,15.3,41.3,1.6,5.0,31.1,3.3,3.7,90.9,0.8,2.6,3.3,2.2,2.2,1.4,0.2,3.3,27.7,0,0,5.1
